Date,HPG,VCB
2019-06-12,13894.26679104388,50996.33672787073
2019-06-13,13834.11844995711,51224.67853411493
2019-06-14,13804.044279413725,52670.843306994844
2019-06-17,13503.302573979874,52670.843306994844
2019-06-18,13864.192620500495,53508.096596556905
2019-06-19,14345.379349194654,53127.526919483236
2019-06-20,14195.008496477729,54421.46382153369
2019-06-21,14255.1568375645,54040.89414446003
2019-06-24,14044.637643760805,55563.17285275468
2019-06-25,13894.26679104388,55106.48924026628
2019-06-26,13773.970108870339,53660.32446738637
2019-06-27,13563.450915066644,52899.185113239044
2019-06-28,14134.86015539096,53660.32446738637
2019-07-01,13834.11844995711,54269.23595070423
2019-07-02,13593.525085610028,53660.32446738637
2019-07-03,13322.857550719564,52975.299048653775
2019-07-04,13413.08006234972,55182.60317568101
2019-07-05,13413.08006234972,55258.71711109575
2019-07-08,13082.264186372484,54269.23595070423
2019-07-09,12841.670822025404,54725.91956319262
2019-07-10,12841.670822025404,55182.60317568101
2019-07-11,12961.967504198943,56324.312206902
2019-07-12,13172.486698002638,56095.9704006578
2019-07-15,12901.819163112174,57085.451561049325
2019-07-16,12992.04167474233,58759.95814017344
2019-07-17,12841.670822025404,57998.81878602612
2019-07-18,12601.077457678324,58151.04665685558
2019-07-19,12390.55826387463,60130.00897763862
2019-07-22,12480.780775504783,60130.00897763862
2019-07-23,13052.1900158291,60053.89504222389
2019-07-24,12961.967504198943,58531.61633392924
2019-07-25,13473.22840343649,59140.5278172471
2019-07-26,13563.450915066644,59749.43930056496
2019-07-29,13292.783380176179,61652.287685933275
2019-07-30,12931.893333655558,61347.831944274345
2019-07-31,13563.450915066644,61043.376202615415
2019-08-01,13593.525085610028,61271.71800885961
2019-08-02,13503.302573979874,60206.122913053354
2019-08-05,13322.857550719564,58912.1860110029
2019-08-06,13082.264186372484,58074.93272144085
2019-08-07,13292.783380176179,59673.32536515023
2019-08-08,14014.56347321742,59749.43930056496
2019-08-09,13894.26679104388,59749.43930056496
2019-08-12,14195.008496477729,59140.5278172471
2019-08-13,14104.785984847575,58074.93272144085
2019-08-14,14104.785984847575,58074.93272144085
2019-08-15,13984.489302674034,60130.00897763862
2019-08-16,13864.192620500495,59292.75568807657
2019-08-19,13864.192620500495,58455.50239851451
2019-08-20,13773.970108870339,58531.61633392924
2019-08-21,13954.415132130649,60891.148331785946
2019-08-22,13864.192620500495,60891.148331785946
2019-08-23,14074.71181430419,60282.23684846809
2019-08-26,13713.82176778357,59216.64175266183
2019-08-27,13473.22840343649,58227.16059227031
2019-08-28,13383.005891806333,58607.73026934398
2019-08-29,13322.857550719564,58455.50239851451
2019-08-30,13352.931721262948,59140.5278172471
2019-09-03,13022.115845285714,59216.64175266183
2019-09-04,12992.04167474233,58836.07207558817
2019-09-05,13052.1900158291,59064.41388183237
2019-09-06,12871.744992568789,58836.07207558817
2019-09-09,12751.448310395248,58759.95814017344
2019-09-10,12811.59665148202,59140.5278172471
2019-09-11,13262.709209632794,59521.09749432076
2019-09-12,13563.450915066644,60510.578654712284
2019-09-13,13593.525085610028,62337.31310466587
2019-09-16,13623.599256153415,61652.287685933275
2019-09-17,13653.6734266968,61728.401621348006
2019-09-18,13834.11844995711,61347.831944274345
2019-09-19,13804.044279413725,62032.85736300694
2019-09-20,13623.599256153415,61652.287685933275
2019-09-23,13232.63503908941,60130.00897763862
2019-09-24,13322.857550719564,61347.831944274345
2019-09-25,13172.486698002638,61423.945879689076
2019-09-26,13383.005891806333,61652.287685933275
2019-09-27,13322.857550719564,63098.45245881319
2019-09-30,13202.560868546025,62489.54097549533
